Date,Home,Visitor,PitcherH,PitcherV,FinalH,FinalV,OpenH,OpenV,CloseH,CloseV,H538,V538
406,HOU,SD,LMCCULLERSJR.-R,LPERDOMO-R,1,4,-280,245,-288,253,0.73,0.27
407,WSH,NYM,GGONZALEZ-L,SMATZ-L,2,3,-160,140,-155,140,0.61,0.39
407,STL,ARI,MWACHA-R,ZGREINKE-R,5,3,105,-115,-109,-101,0.49,0.51
407,SF,LAD,CSTRATTON-R,RHILL-L,7,5,145,-165,111,-126,0.42,0.58
407,MIL,CHC,ZDAVIES-R,YDARVISH-R,2,5,130,-145,118,-133,0.47,0.53
407,PHI,MIA,VVELASQUEZ-R,DPETERS-L,20,1,-145,130,-175,155,0.58,0.42
407,PIT,CIN,CKUHL-R,SROMANO-R,4,7,-140,125,-131,116,0.6,0.4
407,COL,ATL,CBETTIS-R,ASANCHEZ-R,3,2,-155,140,-146,131,0.57,0.43
407,NYY,BAL,SGRAY-R,CTILLMAN-R,8,3,-220,195,-235,205,0.69,0.31
407,BOS,TB,RPORCELLO-R,JFARIA-R,10,3,-175,155,-170,150,0.6,0.4
407,CHW,DET,LGIOLITO-R,MFULMER-R,1,6,-108,-102,-119,109,0.52,0.48
407,MIN,SEA,JBERRIOS-R,MLEAKE-R,4,11,-150,135,-164,144,0.56,0.44
407,CLE,KC,TBAUER-R,IKENNEDY-R,0,1,-210,185,-245,215,0.7,0.3
407,TEX,TOR,MMINOR-L,MSTROMAN-R,5,1,115,-130,111,-126,0.49,0.51
407,LAA,OAK,JRAMIREZ-R,ATRIGGS-R,3,7,-131,116,-114,104,0.57,0.43
407,HOU,SD,GCOLE-R,BMITCHELL-R,1,0,-270,235,-325,280,0.69,0.31
408,PIT,CIN,JTAILLON-R,TMAHLE-R,5,0,-150,135,-155,140,0.58,0.42
408,PHI,MIA,JARRIETA-R,TRICHARDS-R,3,6,-185,165,-200,175,0.63,0.37
408,MIL,CHC,CANDERSON-R,JQUINTANA-L,0,3,115,-130,104,-114,0.48,0.52
408,STL,ARI,LWEAVER-R,TWALKER-R,1,4,-145,130,-165,145,0.55,0.45
408,COL,ATL,KFREELAND-L,SNEWCOMB-L,0,4,-140,125,-155,140,0.55,0.45
408,SF,LAD,TBLACH-L,CKERSHAW-L,1,2,175,-200,215,-245,0.38,0.62
408,WSH,NYM,TROARK-R,MHARVEY-R,5,6,-145,130,-187,167,0.61,0.39
408,NYY,BAL,JMONTGOMERY-L,MWRIGHTJR.-R,7,8,-200,175,-185,165,0.68,0.32
408,BOS,TB,ERODRIGUEZ-L,AKITTREDGE-R,8,7,-220,195,-200,175,0.64,0.36
408,CLE,KC,MCLEVINGER-R,JHAMMEL-R,3,1,-210,185,-214,189,0.7,0.3
408,CHW,DET,RLOPEZ-R,MFIERS-R,0,1,-145,130,-175,155,0.55,0.45
408,TEX,TOR,CHAMELS-L,JGARCIA-L,4,7,-120,110,102,-112,0.56,0.44
408,LAA,OAK,SOHTANI-R,KGRAVEMAN-R,6,1,-175,155,-190,170,0.58,0.42
408,HOU,SD,CMORTON-R,TROSS-R,4,1,-250,220,-277,242,0.7,0.3
409,PHI,CIN,BLIVELY-R,CREED-L,6,5,-155,140,-131,116,0.63,0.37
409,WSH,ATL,MSCHERZER-R,JTEHERAN-R,2,0,-240,210,-254,224,0.66,0.34
409,STL,MIL,MMIKOLAS-R,JCHACIN-R,4,5,-145,130,-148,133,0.56,0.44
409,MIA,NYM,JURENA-R,NSYNDERGAARD-R,2,4,195,-220,205,-235,0.4,0.6
409,COL,SD,JGRAY-R,CRICHARD-L,6,7,-200,175,-190,170,0.65,0.35
409,SF,ARI,DHOLLAND-L,ZGODLEY-R,1,2,120,-135,-105,-105,0.42,0.58
409,CLE,DET,CKLUBER-R,FLIRIANO-L,2,0,-180,160,-305,265,0.74,0.26
409,BAL,TOR,DBUNDY-R,JHAPP-L,1,7,-135,120,-117,107,0.49,0.51
409,TEX,LAA,DFISTER-R,GRICHARDS-R,3,8,115,-130,121,-136,0.47,0.53
409,CHW,TB,MGONZALEZ-R,CARCHER-R,4,5,109,-119,125,-140,0.49,0.51
409,MIN,HOU,LLYNN-R,JVERLANDER-R,0,2,145,-165,130,-145,0.4,0.6
409,KC,SEA,JJUNIS-R,MGONZALES-L,10,0,-115,105,-105,-105,0.5,0.5
410,WSH,ATL,SSTRASBURG-R,MFOLTYNEWICZ-R,4,1,-230,205,-240,210,0.65,0.35
410,PHI,CIN,ANOLA-R,HBAILEY-R,6,1,-175,155,-195,175,0.62,0.38
410,MIA,NYM,CSMITH-L,JDEGROM-R,6,8,175,-200,174,-194,0.4,0.6
410,STL,MIL,CMARTINEZ-R,BSUTER-L,5,3,-155,140,-163,143,0.59,0.41
410,COL,SD,TANDERSON-L,JLUCCHESI-L,2,5,-175,155,-150,135,0.61,0.39
410,SF,ARI,TBEEDE-R,PCORBIN-L,5,4,-120,110,-102,-108,0.47,0.53
410,CHW,TB,CFULMER-R,BSNELL-L,5,6,-115,105,100,-110,0.47,0.53
410,CLE,DET,JTOMLIN-R,MBOYD-L,2,1,-200,175,-212,187,0.65,0.35
410,BAL,TOR,ACASHNER-R,ASANCHEZ-R,1,2,105,-115,120,-135,0.47,0.53
410,BOS,NYY,CSALE-L,LSEVERINO-R,14,1,-145,130,-132,117,0.55,0.45
410,TEX,LAA,MPEREZ-L,TSKAGGS-L,1,11,120,-135,128,-143,0.48,0.52
410,MIN,HOU,JODORIZZI-R,DKEUCHEL-L,4,1,120,-135,143,-158,0.44,0.56
410,KC,SEA,ESKOGLUND-L,FHERNANDEZ-R,3,8,120,-135,-105,-105,0.42,0.58
410,LAD,OAK,HRYU-L,SMANAEA-L,4,0,-150,135,-123,113,0.59,0.41
410,CHC,PIT,TCHATWOOD-R,INOVA-R,5,8,-145,130,-147,132,0.63,0.37
411,WSH,ATL,ACOLE-R,BMCCARTHY-R,3,5,-145,130,-123,113,0.53,0.47
411,STL,MIL,AWAINWRIGHT-R,JGUERRA-R,2,3,-165,145,-141,126,0.55,0.45
411,COL,SD,GMARQUEZ-R,LPERDOMO-R,6,4,-177,157,-150,135,0.6,0.4
411,SF,ARI,ASUAREZ-L,RRAY-L,3,7,-109,-101,100,-110,0.46,0.54
411,PHI,CIN,NPIVETTA-R,LCASTILLO-R,4,3,-112,102,-107,-103,0.53,0.47
411,MIA,NYM,JGARCIA-L,ZWHEELER-R,1,4,139,-154,114,-129,0.47,0.53
411,CHC,PIT,JLESTER-L,SBRAULT-L,13,5,-203,178,-160,140,0.62,0.38
411,MIN,HOU,KGIBSON-R,LMCCULLERSJR.-R,9,8,147,-167,140,-160,0.46,0.54
411,CHW,TB,JSHIELDS-R,YCHIRINOS-R,2,1,-119,109,110,-125,0.46,0.54
411,KC,SEA,DDUFFY-L,JPAXTON-L,2,4,120,-135,125,-140,0.43,0.57
411,CLE,DET,CCARRASCO-R,JZIMMERMANN-R,5,1,-290,255,-300,260,0.73,0.27
411,BAL,TOR,KGAUSMAN-R,MESTRADA-R,5,3,103,-113,-137,122,0.48,0.52
411,BOS,NYY,DPRICE-L,MTANAKA-R,7,10,-111,101,-104,-106,0.54,0.46
411,TEX,LAA,MMOORE-L,JBARRIA-R,2,7,-108,-102,105,-115,0.47,0.53
411,LAD,OAK,AWOOD-L,DMENGDEN-R,6,16,-195,175,-178,158,0.65,0.35
412,CHC,PIT,KHENDRICKS-R,TWILLIAMS-R,1,6,-165,145,-175,155,0.62,0.38
412,CIN,STL,SROMANO-R,MWACHA-R,4,13,115,-130,131,-146,0.44,0.56
412,WSH,COL,GGONZALEZ-L,CBETTIS-R,1,5,-175,155,-185,165,0.59,0.41
412,SD,SF,BMITCHELL-R,CSTRATTON-R,0,7,110,-120,124,-139,0.48,0.52
412,CLE,DET,TBAUER-R,MFULMER-R,9,3,-175,155,-225,200,0.65,0.35
412,BOS,NYY,RPORCELLO-R,SGRAY-R,6,3,-130,115,104,-114,0.52,0.48
412,MIN,CHW,JBERRIOS-R,LGIOLITO-R,4,0,-175,155,-245,215,0.62,0.38
412,KC,LAA,IKENNEDY-R,NTROPEANO-R,1,7,110,-120,137,-152,0.42,0.58
413,CHC,ATL,YDARVISH-R,ASANCHEZ-R,0,4,-205,180,-196,176,0.65,0.35
413,CIN,STL,TMAHLE-R,LWEAVER-R,3,5,135,-150,150,-170,0.42,0.58
413,WSH,COL,TROARK-R,KFREELAND-L,1,2,-180,160,-177,157,0.58,0.42
413,NYM,MIL,SMATZ-L,ZDAVIES-R,6,5,-125,110,-106,-104,0.52,0.48
413,MIA,PIT,DPETERS-L,CKUHL-R,7,2,135,-150,114,-129,0.42,0.58
413,SD,SF,TROSS-R,TBLACH-L,5,1,-105,-105,116,-131,0.49,0.51
413,LAD,ARI,KMAEDA-R,ZGREINKE-R,7,8,-115,105,-142,127,0.54,0.46
413,DET,NYY,MFIERS-R,JMONTGOMERY-L,6,8,160,-180,162,-182,0.38,0.62
413,CLE,TOR,MCLEVINGER-R,MSTROMAN-R,4,8,-155,140,-146,131,0.6,0.4
413,BOS,BAL,ERODRIGUEZ-L,CTILLMAN-R,7,3,-185,165,-251,221,0.7,0.3
413,HOU,TEX,GCOLE-R,CHAMELS-L,3,2,-230,205,-260,230,0.63,0.37
413,KC,LAA,JHAMMEL-R,AHEANEY-L,4,5,109,-119,150,-170,0.43,0.57
413,SEA,OAK,MLEAKE-R,ATRIGGS-R,7,4,-120,110,114,-129,0.56,0.44
413,TB,PHI,JFARIA-R,VVELASQUEZ-R,1,2,105,-115,-114,104,0.53,0.47
414,WSH,COL,MSCHERZER-R,JGRAY-R,6,2,-210,185,-184,164,0.62,0.38
414,CIN,STL,BFINNEGAN-L,MMIKOLAS-R,1,6,120,-135,111,-121,0.45,0.55
414,CHC,ATL,JQUINTANA-L,SNEWCOMB-L,14,10,-175,155,-178,158,0.63,0.37
414,MIA,PIT,TRICHARDS-R,JTAILLON-R,0,1,155,-175,175,-195,0.42,0.58
414,NYM,MIL,MHARVEY-R,CANDERSON-R,1,5,-135,120,-105,-105,0.47,0.53
414,SD,SF,CRICHARD-L,DHOLLAND-L,5,4,105,-115,-108,-102,0.5,0.5
414,LAD,ARI,RHILL-L,TWALKER-R,1,9,-150,135,-180,160,0.59,0.41
414,BOS,BAL,HVELAZQUEZ-R,ACOBB-R,10,3,-165,145,-155,140,0.61,0.39
414,HOU,TEX,CMORTON-R,MMINOR-L,5,6,-210,185,-240,210,0.65,0.35
414,KC,LAA,JJUNIS-R,GRICHARDS-R,3,5,130,-145,143,-163,0.42,0.58
414,SEA,OAK,MGONZALES-L,KGRAVEMAN-R,10,8,-130,115,-109,-101,0.54,0.46
414,TB,PHI,CARCHER-R,JARRIETA-R,4,9,-121,111,-142,127,0.51,0.49
415,CIN,STL,HBAILEY-R,CMARTINEZ-R,2,3,140,-155,165,-185,0.39,0.61
415,MIA,PIT,JURENA-R,INOVA-R,3,7,125,-140,124,-139,0.46,0.54
415,NYM,MIL,NSYNDERGAARD-R,JCHACIN-R,3,2,-200,175,-207,182,0.59,0.41
415,WSH,COL,SSTRASBURG-R,TANDERSON-L,5,6,-200,175,-205,180,0.62,0.38
415,LAD,ARI,CKERSHAW-L,ZGODLEY-R,7,2,-210,185,-210,185,0.57,0.43
415,SD,SF,JLUCCHESI-L,TBEEDE-R,10,1,-115,105,-135,120,0.51,0.49
415,BOS,BAL,CSALE-L,DBUNDY-R,3,1,-220,195,-225,200,0.67,0.33
415,SEA,OAK,FHERNANDEZ-R,SMANAEA-L,1,2,-115,105,104,-114,0.55,0.45
415,HOU,TEX,JVERLANDER-R,BCOLON-R,1,3,-330,285,-338,293,0.73,0.27
415,TB,PHI,RYARBROUGH-L,BLIVELY-R,4,10,-120,110,-138,123,0.52,0.48
416,PIT,COL,SBRAULT-L,GMARQUEZ-R,2,6,-125,110,-127,112,0.52,0.48
416,NYM,WSH,JDEGROM-R,JHELLICKSON-R,6,8,-165,145,-171,151,0.59,0.41
416,ATL,PHI,JTEHERAN-R,ANOLA-R,2,1,115,-130,107,-117,0.49,0.51
416,MIL,CIN,BSUTER-L,LCASTILLO-R,4,10,-150,135,-117,107,0.58,0.42
416,SD,LAD,RERLIN-L,HRYU-L,3,10,125,-140,128,-143,0.42,0.58
416,TB,TEX,BSNELL-L,MPEREZ-L,8,4,-155,140,-168,148,0.56,0.44
416,OAK,CHW,DMENGDEN-R,RLOPEZ-R,8,1,-115,105,-155,140,0.58,0.42
416,SEA,HOU,JPAXTON-L,DKEUCHEL-L,2,1,115,-130,-102,-108,0.5,0.5
416,NYY,MIA,LSEVERINO-R,CSMITH-L,12,1,-350,300,-342,297,0.73,0.27
417,PIT,COL,TWILLIAMS-R,CBETTIS-R,0,2,-140,125,-131,116,0.54,0.46
417,NYM,WSH,ZWHEELER-R,GGONZALEZ-L,2,5,-119,109,103,-113,0.48,0.52
417,ATL,PHI,MFOLTYNEWICZ-R,NPIVETTA-R,1,5,-111,101,-109,-101,0.54,0.46
417,MIL,CIN,JGUERRA-R,SROMANO-R,2,0,-175,155,-149,134,0.61,0.39
417,CHC,STL,TCHATWOOD-R,AWAINWRIGHT-R,3,5,-130,115,-128,113,0.59,0.41
417,ARI,SF,PCORBIN-L,JCUETO-R,1,0,-130,115,-150,135,0.59,0.41
417,SD,LAD,BMITCHELL-R,AWOOD-L,3,7,150,-170,201,-226,0.38,0.62
417,DET,BAL,FLIRIANO-L,ACASHNER-R,4,2,101,-111,100,-110,0.5,0.5
417,TOR,KC,JBIAGINI-R,DDUFFY-L,5,4,-195,175,-153,138,0.67,0.33
417,MIN,CLE,JODORIZZI-R,CKLUBER-R,1,6,180,-205,175,-200,0.37,0.63
417,TB,TEX,YCHIRINOS-R,MMOORE-L,2,7,-165,145,-146,131,0.56,0.44
417,OAK,CHW,TCAHILL-R,MGONZALEZ-R,10,2,-140,125,-187,167,0.57,0.43
417,LAA,BOS,SOHTANI-R,DPRICE-L,1,10,-140,125,-166,146,0.49,0.51
